map_seed,start_point,target_point,population_size,generations,mutation_rate,max_steps,num_iterations,success_rate,avg_execution_time,avg_path_length,avg_generations_needed,best_path_length,best_path,successful_runs
7,"(5, 1)","(5, 14)",1000,2000,0.9,39,10,100.0,12.27,39.4,858.2,34,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14)]",10
8,"(6, 1)","(10, 14)",1000,2000,0.9,43,10,80.0,24.29,44.5,1350.62,40,"[(6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 2), (11, 2), (11, 1), (12, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13), (8, 14), (9, 14), (10, 14)]",8
9,"(15, 1)","(5, 14)",1000,2000,0.9,49,10,100.0,0.9,26.0,81.3,24,"[(15, 1), (14, 1), (13, 1), (12, 1), (12, 2), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 14)]",10
10,"(8, 1)","(7, 14)",1000,2000,0.9,40,10,100.0,8.1,32.6,639.9,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (10, 12), (10, 13), (9, 13), (9, 14), (8, 14), (7, 14)]",10
11,"(7, 1)","(10, 14)",1000,2000,0.9,42,10,100.0,1.89,25.6,178.6,21,"[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (9, 13), (9, 14), (10, 14)]",10
12,"(8, 1)","(7, 14)",1000,2000,0.9,40,10,80.0,33.08,47.0,1639.88,43,"[(8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (12, 10), (13, 10), (13, 9), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14)]",8
13,"(11, 1)","(4, 14)",1000,2000,0.9,46,10,100.0,1.57,24.6,143.0,21,"[(11, 1), (11, 2), (11, 3), (11, 4), (10, 4), (9, 4), (8, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (4, 14)]",10
14,"(12, 1)","(10, 14)",1000,2000,0.9,41,10,80.0,28.51,41.25,1495.62,38,"[(12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 7), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (9, 8), (8, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (10, 14)]",8
15,"(14, 1)","(8, 14)",1000,2000,0.9,45,10,100.0,0.88,30.6,77.4,22,"[(14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (14, 14), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14)]",10
16,"(5, 1)","(6, 14)",1000,2000,0.9,40,10,100.0,9.79,38.0,713.2,33,"[(5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14)]",10
